line_id,timestamp,node,label__alert_tag,is_anomaly,is_hardcase,label__level,position_ratio,template_id,message
1083351,1131685767,bn257,CPU,True,True,INFO,0.005129,1,Losing some ticks... checking if CPU frequency changed.
1532712,1131734646,an664,CPU,True,True,INFO,0.007257,1,Losing some ticks... checking if CPU frequency changed.
1568636,1131745239,cn1023,CPU,True,True,INFO,0.007427,1,Losing some ticks... checking if CPU frequency changed.
2034496,1131763980,an713,CPU,True,True,INFO,0.009632,1,Losing some ticks... checking if CPU frequency changed.
2034900,1131764118,bn897,CPU,True,True,INFO,0.009634,1,Losing some ticks... checking if CPU frequency changed.
2183114,1131799121,en190,CPU,True,True,INFO,0.010336,1,Losing some ticks... checking if CPU frequency changed.
2379684,1131850123,cn572,CPU,True,True,INFO,0.011267,1,Losing some ticks... checking if CPU frequency changed.
2522185,1131889465,an933,CPU,True,True,INFO,0.011941,1,Losing some ticks... checking if CPU frequency changed.
2559123,1131896778,an416,CPU,True,True,INFO,0.012116,1,Losing some ticks... checking if CPU frequency changed.
2666374,1131915682,dn30,CPU,True,True,INFO,0.012624,1,Losing some ticks... checking if CPU frequency changed.
3510788,1132063679,dn30,CPU,True,True,INFO,0.016622,1,Losing some ticks... checking if CPU frequency changed.
5407641,1132378222,dn41,SCSI,True,True,INFO,0.025603,2,scsi0 (0:0): rejecting I/O to offline device
5407642,1132378222,dn41,SCSI,True,True,INFO,0.025603,2,scsi0 (0:0): rejecting I/O to offline device
5407643,1132378222,dn41,SCSI,True,True,INFO,0.025603,2,scsi0 (0:0): rejecting I/O to offline device
5407659,1132378223,dn41,SCSI,True,True,INFO,0.025603,2,scsi0 (0:0): rejecting I/O to offline device
5407660,1132378223,dn41,SCSI,True,True,INFO,0.025603,2,scsi0 (0:0): rejecting I/O to offline device
5407849,1132378256,dn41,SCSI,True,True,INFO,0.025604,2,scsi0 (0:0): rejecting I/O to offline device
5407850,1132378256,dn41,SCSI,True,True,INFO,0.025604,2,scsi0 (0:0): rejecting I/O to offline device
6289320,1132549203,dn312,SCSI,True,True,INFO,0.029777,2,scsi0 (0:0): rejecting I/O to offline device
6289321,1132549203,dn312,SCSI,True,True,INFO,0.029777,2,scsi0 (0:0): rejecting I/O to offline device
6289322,1132549203,dn312,SCSI,True,True,INFO,0.029777,2,scsi0 (0:0): rejecting I/O to offline device
6289510,1132549234,dn312,SCSI,True,True,INFO,0.029778,2,scsi0 (0:0): rejecting I/O to offline device
6289511,1132549234,dn312,SCSI,True,True,INFO,0.029778,2,scsi0 (0:0): rejecting I/O to offline device
6680742,1132638542,an895,CPU,True,True,INFO,0.03163,1,Losing some ticks... checking if CPU frequency changed.
8157469,1132715701,cn935,CPU,True,True,INFO,0.038622,1,Losing some ticks... checking if CPU frequency changed.
8197075,1132729055,bn410,CPU,True,True,INFO,0.03881,1,Losing some ticks... checking if CPU frequency changed.
8197210,1132729098,an895,CPU,True,True,INFO,0.03881,1,Losing some ticks... checking if CPU frequency changed.
8498794,1132817623,bn725,SCSI,True,True,INFO,0.040238,2,scsi0 (0:0): rejecting I/O to offline device
8498795,1132817623,bn725,SCSI,True,True,INFO,0.040238,2,scsi0 (0:0): rejecting I/O to offline device
9272349,1133429766,bn971,CPU,True,True,INFO,0.043901,1,Losing some ticks... checking if CPU frequency changed.
9530723,1133536460,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9530724,1133536460,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9530725,1133536460,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9530726,1133536460,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9530737,1133536461,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9530738,1133536461,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9530769,1133536494,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9530770,1133536494,an43,SCSI,True,True,INFO,0.045124,2,scsi0 (0:0): rejecting I/O to offline device
9552832,1133547129,an43,CPU,True,True,INFO,0.045229,1,Losing some ticks... checking if CPU frequency changed.
9552833,1133547129,an43,SCSI,True,True,INFO,0.045229,2,scsi0 (0:0): rejecting I/O to offline device
9552834,1133547129,an43,SCSI,True,True,INFO,0.045229,2,scsi0 (0:0): rejecting I/O to offline device
9554991,1133547240,an43,SCSI,True,True,INFO,0.045239,2,scsi0 (0:0): rejecting I/O to offline device
9557247,1133547413,an43,SCSI,True,True,INFO,0.04525,2,scsi0 (0:0): rejecting I/O to offline device
9560282,1133547919,an43,SCSI,True,True,INFO,0.045264,2,scsi0 (0:0): rejecting I/O to offline device
9560283,1133547919,an43,SCSI,True,True,INFO,0.045264,2,scsi0 (0:0): rejecting I/O to offline device
9560284,1133547919,an43,SCSI,True,True,INFO,0.045264,2,scsi0 (0:0): rejecting I/O to offline device
9560285,1133547919,an43,SCSI,True,True,INFO,0.045264,2,scsi0 (0:0): rejecting I/O to offline device
9560286,1133547919,an43,SCSI,True,True,INFO,0.045264,2,scsi0 (0:0): rejecting I/O to offline device
9562269,1133548240,an43,SCSI,True,True,INFO,0.045273,2,scsi0 (0:0): rejecting I/O to offline device
9562270,1133548240,an43,SCSI,True,True,INFO,0.045273,2,scsi0 (0:0): rejecting I/O to offline device
9562271,1133548240,an43,SCSI,True,True,INFO,0.045273,2,scsi0 (0:0): rejecting I/O to offline device
9563580,1133548406,an43,SCSI,True,True,INFO,0.045279,2,scsi0 (0:0): rejecting I/O to offline device
9584254,1133552007,dn818,CPU,True,True,INFO,0.045377,1,Losing some ticks... checking if CPU frequency changed.
9586254,1133552681,cn935,CPU,True,True,INFO,0.045387,1,Losing some ticks... checking if CPU frequency changed.
9618724,1133568128,an983,CPU,True,True,INFO,0.045541,1,Losing some ticks... checking if CPU frequency changed.
9618748,1133568143,an347,CPU,True,True,INFO,0.045541,1,Losing some ticks... checking if CPU frequency changed.
9672195,1133583398,cn994,CPU,True,True,INFO,0.045794,1,Losing some ticks... checking if CPU frequency changed.
9805117,1133672281,dn114,CPU,True,True,INFO,0.046423,1,Losing some ticks... checking if CPU frequency changed.
9811072,1133674239,bn112,CPU,True,True,INFO,0.046451,1,Losing some ticks... checking if CPU frequency changed.
9834673,1133688032,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9834674,1133688032,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9834689,1133688033,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9834690,1133688033,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9834691,1133688033,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9834692,1133688033,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9834722,1133688066,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9834723,1133688066,cn745,SCSI,True,True,INFO,0.046563,2,scsi0 (0:0): rejecting I/O to offline device
9865776,1133698921,an43,SCSI,True,True,INFO,0.04671,2,scsi0 (0:0): rejecting I/O to offline device
9867932,1133698922,cn745,SCSI,True,True,INFO,0.04672,2,scsi0 (0:0): rejecting I/O to offline device
9914941,1133720311,cn745,SCSI,True,True,INFO,0.046943,2,scsi0 (0:0): rejecting I/O to offline device
9951427,1133740602,dn483,CPU,True,True,INFO,0.047116,1,Losing some ticks... checking if CPU frequency changed.
10109093,1133805303,bn112,VAPI,True,True,INFO,0.047862,3,
10186486,1133828067,bn91,NMI,True,True,INFO,0.048229,4,"Uhhuh. NMI received. Dazed and confused, but trying to continue"
10186487,1133828067,bn91,NMI,True,True,INFO,0.048229,4,"Uhhuh. NMI received. Dazed and confused, but trying to continue"
10447295,1133896582,an43,SCSI,True,True,INFO,0.049464,2,scsi0 (0:0): rejecting I/O to offline device
10449101,1133896645,an43,SCSI,True,True,INFO,0.049472,2,scsi0 (0:0): rejecting I/O to offline device
10449268,1133896646,an43,SCSI,True,True,INFO,0.049473,2,scsi0 (0:0): rejecting I/O to offline device
10451093,1133896685,an43,SCSI,True,True,INFO,0.049481,2,scsi0 (0:0): rejecting I/O to offline device
10451094,1133896685,an43,SCSI,True,True,INFO,0.049481,2,scsi0 (0:0): rejecting I/O to offline device
10451095,1133896685,an43,SCSI,True,True,INFO,0.049481,2,scsi0 (0:0): rejecting I/O to offline device
10451096,1133896685,an43,SCSI,True,True,INFO,0.049481,2,scsi0 (0:0): rejecting I/O to offline device
10451102,1133896689,an43,SCSI,True,True,INFO,0.049482,2,scsi0 (0:0): rejecting I/O to offline device
10451103,1133896689,an43,SCSI,True,True,INFO,0.049482,2,scsi0 (0:0): rejecting I/O to offline device
10451104,1133896689,an43,SCSI,True,True,INFO,0.049482,2,scsi0 (0:0): rejecting I/O to offline device
10727227,1133909946,bn243,VAPI,True,True,INFO,0.050789,3,
10727557,1133910019,bn243,CPU,True,True,INFO,0.05079,1,Losing some ticks... checking if CPU frequency changed.
10858496,1133957024,cn244,CPU,True,True,INFO,0.05141,1,Losing some ticks... checking if CPU frequency changed.
10919024,1133976679,an43,SCSI,True,True,INFO,0.051697,2,scsi0 (0:0): rejecting I/O to offline device
10940462,1133977993,an43,SCSI,True,True,INFO,0.051798,2,scsi0 (0:0): rejecting I/O to offline device
10949812,1133981683,an43,SCSI,True,True,INFO,0.051843,2,scsi0 (0:0): rejecting I/O to offline device
10981725,1133982509,an43,SCSI,True,True,INFO,0.051994,2,scsi0 (0:0): rejecting I/O to offline device
11121806,1134043313,cn244,EXT_FS,True,True,INFO,0.052657,3,
11191196,1134065262,an43,SCSI,True,True,INFO,0.052986,2,scsi0 (0:0): rejecting I/O to offline device
11230085,1134069212,tbird-admin1,CHK_DSK,True,True,INFO,0.05317,5,"eadmin1: 2005/12/08 10:37:26, Fault Status assert (Drive Array,Slot/Connector Number: 1)"
11230086,1134069212,tbird-admin1,CHK_DSK,True,True,INFO,0.05317,6,"eadmin1: 2005/12/08 10:37:48, Fault Status assert (deassertion event) (Drive Array,Slot/Connector Number: 1)"
11512506,1134095144,an164,CPU,True,True,INFO,0.054507,1,Losing some ticks... checking if CPU frequency changed.
11512513,1134095144,an326,CPU,True,True,INFO,0.054507,1,Losing some ticks... checking if CPU frequency changed.
11644496,1134145819,an43,SCSI,True,True,INFO,0.055132,2,scsi0 (0:0): rejecting I/O to offline device
12718979,1134416910,cn745,SCSI,True,True,INFO,0.060219,2,scsi0 (0:0): rejecting I/O to offline device
12718980,1134416910,cn745,SCSI,True,True,INFO,0.060219,2,scsi0 (0:0): rejecting I/O to offline device
12718981,1134416910,cn745,SCSI,True,True,INFO,0.060219,2,scsi0 (0:0): rejecting I/O to offline device
12719066,1134416941,cn745,SCSI,True,True,INFO,0.060219,2,scsi0 (0:0): rejecting I/O to offline device
12719082,1134416946,cn745,SCSI,True,True,INFO,0.060219,2,scsi0 (0:0): rejecting I/O to offline device
12720878,1134417464,cn745,SCSI,True,True,INFO,0.060228,2,scsi0 (0:0): rejecting I/O to offline device
12720943,1134417496,cn745,SCSI,True,True,INFO,0.060228,2,scsi0 (0:0): rejecting I/O to offline device
