node,template_id,bucket5,anchor_ts,stage,pool_size,n_negatives_selected
an1,8,3828311,1148493450,1,7,4
an1,9,3827787,1148336250,1,3,3
an1001,1,3812833,1143850050,1,6,4
an101,8,3816212,1144863750,1,12,4
an101,8,3816213,1144864050,1,12,4
an1010,1,3823186,1146955950,1,2,2
an1011,1,3792265,1137679650,1,11,4
an1011,2,3791642,1137492750,1,22,4
an1011,2,3791643,1137493050,1,22,4
an1011,2,3791952,1137585750,1,14,4
an1011,2,3792031,1137609450,1,13,4
an1011,2,3792033,1137610050,1,13,4
an1011,2,3792035,1137610650,1,13,4
an1011,2,3792037,1137611250,1,13,4
an1011,2,3792240,1137672150,1,4,4
an1011,2,3792265,1137679650,1,11,4
an1011,2,3792295,1137688650,1,9,4
an1012,1,3795845,1138753650,1,124,4
an1014,1,3837867,1151360250,1,1441,4
an102,8,3816212,1144863750,1,11,4
an102,8,3816213,1144864050,1,11,4
an103,8,3816212,1144863750,1,10,4
an104,8,3816212,1144863750,1,11,4
an105,8,3816212,1144863750,1,12,4
an106,8,3816212,1144863750,1,11,4
an107,1,3789441,1136832450,1,687,4
an108,9,3841037,1152311250,1,5,4
an109,8,3816212,1144863750,1,10,4
an111,8,3816212,1144863750,1,11,4
an112,8,3816212,1144863750,1,10,4
an113,8,3816212,1144863750,1,13,4
an114,8,3816212,1144863750,1,12,4
an115,8,3816212,1144863750,1,12,4
an116,8,3816212,1144863750,1,10,4
an117,8,3816212,1144863750,1,12,4
an118,8,3816212,1144863750,1,10,4
an119,8,3816212,1144863750,1,10,4
an120,8,3816212,1144863750,1,11,4
an121,8,3816212,1144863750,1,10,4
an122,8,3816212,1144863750,1,13,4
an123,8,3816212,1144863750,1,12,4
an124,8,3816212,1144863750,1,12,4
an125,8,3816212,1144863750,1,10,4
an126,8,3816212,1144863750,1,11,4
an127,8,3816212,1144863750,1,11,4
an128,8,3816212,1144863750,1,12,4
an129,8,3816212,1144863750,1,12,4
an130,8,3816212,1144863750,1,11,4
an131,8,3816212,1144863750,1,14,4
an132,8,3816212,1144863750,1,10,4
an133,8,3816212,1144863750,1,12,4
an134,8,3816212,1144863750,1,13,4
an135,8,3816212,1144863750,1,13,4
an136,8,3816212,1144863750,1,11,4
an137,8,3816212,1144863750,1,10,4
an138,8,3816212,1144863750,1,11,4
an139,8,3816212,1144863750,1,11,4
an140,8,3816212,1144863750,1,10,4
an142,8,3816212,1144863750,1,10,4
an144,8,3816212,1144863750,1,11,4
an145,8,3816212,1144863750,1,10,4
an146,8,3816212,1144863750,1,15,4
an147,8,3816212,1144863750,1,10,4
an148,8,3816212,1144863750,1,11,4
an149,8,3816212,1144863750,1,12,4
an150,8,3816212,1144863750,1,12,4
an151,8,3816212,1144863750,1,13,4
an152,8,3816212,1144863750,1,11,4
an153,8,3816212,1144863750,1,10,4
an154,8,3816212,1144863750,1,12,4
an155,8,3816212,1144863750,1,12,4
an156,8,3816212,1144863750,1,11,4
an157,8,3816212,1144863750,1,10,4
an158,8,3816212,1144863750,1,13,4
an159,8,3816212,1144863750,1,12,4
an160,8,3816212,1144863750,1,11,4
an161,8,3816212,1144863750,1,11,4
an162,8,3816212,1144863750,1,11,4
an163,8,3816212,1144863750,1,12,4
an164,1,3780317,1134095250,1,125,4
an164,8,3816212,1144863750,1,11,4
an165,8,3816212,1144863750,1,12,4
an166,8,3816212,1144863750,1,11,4
an167,1,3816304,1144891350,1,10,4
an167,8,3816212,1144863750,1,11,4
an168,8,3816212,1144863750,1,12,4
an169,8,3816212,1144863750,1,13,4
an170,8,3816212,1144863750,1,10,4
an171,1,3809906,1142971950,1,157,4
an172,8,3816212,1144863750,1,11,4
an173,8,3816212,1144863750,1,10,4
an174,8,3816212,1144863750,1,11,4
an175,8,3816212,1144863750,1,15,4
an177,8,3816212,1144863750,1,10,4
an177,9,3807953,1142386050,1,433,4
an178,8,3816212,1144863750,1,10,4
an179,8,3816212,1144863750,1,13,4
an18,1,3812842,1143852750,1,16,4
an180,8,3816212,1144863750,1,17,4
an181,8,3816212,1144863750,1,14,4
an182,1,3834538,1150361550,2,16203,4
an183,8,3816212,1144863750,1,14,4
an184,8,3816212,1144863750,1,17,4
an185,8,3816212,1144863750,1,10,4
an186,2,3785492,1135647750,1,67,4
an186,2,3785495,1135648650,1,67,4
an186,2,3785498,1135649550,1,67,4
an186,2,3785616,1135684950,1,25,4
an186,2,3785904,1135771350,1,25,4
an186,2,3786192,1135857750,1,25,4
an186,2,3786480,1135944150,1,25,4
an186,2,3786768,1136030550,1,25,4
an186,2,3787056,1136116950,1,56,4
an186,2,3787060,1136118150,1,56,4
an186,2,3787064,1136119350,1,56,4
an186,7,3785492,1135647750,1,67,4
an186,8,3816212,1144863750,1,12,4
an188,8,3816212,1144863750,1,12,4
an189,8,3816212,1144863750,1,12,4
an190,8,3816212,1144863750,1,17,4
an191,1,3788752,1136625750,1,900,4
an191,3,3788762,1136628750,1,900,4
an191,7,3788752,1136625750,1,900,4
an191,7,3788753,1136626050,1,900,4
an191,7,3788754,1136626350,1,900,4
an191,7,3788762,1136628750,1,900,4
an191,7,3788784,1136635350,1,33,4
an191,7,3788822,1136646750,1,167,4
an191,7,3788823,1136647050,1,167,4
an191,7,3789072,1136721750,1,177,4
an191,7,3789076,1136722950,1,189,4
an191,7,3789077,1136723250,1,189,4
an191,7,3789078,1136723550,1,189,4
an191,7,3789079,1136723850,1,189,4
an191,7,3789360,1136808150,1,43,4
an191,7,3789648,1136894550,1,68,4
an191,7,3789649,1136894850,1,68,4
an191,7,3789936,1136980950,1,34,4
an191,7,3790224,1137067350,1,54,4
an191,7,3790225,1137067650,1,54,4
an191,7,3790512,1137153750,1,29,4
an191,7,3790800,1137240150,1,53,4
an191,7,3790801,1137240450,1,53,4
an191,7,3791088,1137326550,1,122,4
an191,7,3791092,1137327750,1,122,4
an191,7,3791093,1137328050,1,122,4
an191,7,3791094,1137328350,1,122,4
an191,7,3791376,1137412950,1,32,4
an191,7,3791664,1137499350,1,27,4
an191,7,3791952,1137585750,1,119,4
an191,7,3792030,1137609150,1,342,4
an191,7,3792031,1137609450,1,338,4
an191,7,3792033,1137610050,1,338,4
an191,7,3792034,1137610350,1,338,4
an191,7,3792035,1137610650,1,338,4
an191,7,3792036,1137610950,1,333,4
an191,7,3792037,1137611250,1,329,4
an191,7,3792038,1137611550,1,319,4
an191,7,3792039,1137611850,1,311,4
an191,8,3816212,1144863750,1,10,4
an192,8,3816212,1144863750,1,12,4
an193,8,3816212,1144863750,1,12,4
an194,8,3816212,1144863750,1,13,4
an195,8,3816212,1144863750,1,14,4
an196,8,3816212,1144863750,1,11,4
an198,8,3816212,1144863750,1,14,4
an199,8,3816212,1144863750,1,13,4
an2,8,3828311,1148493450,1,4,4
an200,8,3816212,1144863750,1,15,4
an201,8,3816212,1144863750,1,14,4
an202,8,3816212,1144863750,1,14,4
an203,8,3816212,1144863750,1,16,4
an205,8,3816212,1144863750,1,58,4
an206,8,3816212,1144863750,1,12,4
an207,8,3816212,1144863750,1,16,4
an208,8,3816212,1144863750,1,13,4
an209,8,3816212,1144863750,1,13,4
an21,1,3812832,1143849750,1,15,4
an21,3,3823761,1147128450,1,1621,4
an21,3,3823767,1147130250,1,1620,4
an21,7,3823755,1147126650,1,1620,4
an21,7,3823756,1147126950,1,1625,4
an21,7,3823757,1147127250,1,1625,4
an21,7,3823758,1147127550,1,1621,4
an21,7,3823759,1147127850,1,1621,4
an21,7,3823760,1147128150,1,1621,4
an21,7,3823761,1147128450,1,1621,4
an21,7,3823762,1147128750,1,1621,4
an21,7,3823763,1147129050,1,1621,4
an21,7,3823764,1147129350,1,1620,4
an21,7,3823767,1147130250,1,1620,4
an21,7,3823908,1147172550,1,257,4
an21,7,3823909,1147172850,1,257,4
an21,7,3823910,1147173150,1,257,4
an21,7,3823911,1147173450,1,257,4
an21,7,3823912,1147173750,1,257,4
an21,7,3823913,1147174050,1,257,4
an21,7,3823914,1147174350,1,257,4
an21,7,3824196,1147258950,1,45,4
an21,7,3824484,1147345350,1,48,4
an21,7,3824772,1147431750,1,114,4
an21,7,3825060,1147518150,1,47,4
an21,7,3825348,1147604550,1,69,4
an21,7,3825352,1147605750,1,69,4
an21,7,3825636,1147690950,1,45,4
an21,7,3825756,1147726950,1,570,4
an21,7,3825757,1147727250,1,570,4
an210,8,3816212,1144863750,1,13,4
an211,8,3816212,1144863750,1,19,4
an212,8,3816212,1144863750,1,14,4
an213,8,3816212,1144863750,1,12,4
an214,8,3816212,1144863750,1,12,4
an215,8,3816212,1144863750,1,13,4
an216,8,3816212,1144863750,1,14,4
an217,8,3816212,1144863750,1,14,4
an218,1,3812833,1143850050,1,20,4
an218,8,3816212,1144863750,1,15,4
an219,8,3816212,1144863750,1,12,4
an220,8,3816212,1144863750,1,14,4
an222,8,3816212,1144863750,1,15,4
an223,8,3816212,1144863750,1,15,4
an224,8,3816212,1144863750,1,13,4
an225,8,3816212,1144863750,1,14,4
an227,8,3816212,1144863750,1,14,4
an228,8,3816212,1144863750,1,14,4
an229,8,3816212,1144863750,1,15,4
an230,8,3816212,1144863750,1,15,4
an231,8,3816212,1144863750,1,13,4
an232,8,3816212,1144863750,1,16,4
an233,8,3816212,1144863750,1,15,4
an234,8,3816212,1144863750,1,15,4
an235,8,3816212,1144863750,1,125,4
an236,1,3823177,1146953250,1,1532,4
an236,8,3816212,1144863750,1,15,4
an237,8,3816212,1144863750,1,13,4
an238,8,3816212,1144863750,1,16,4
an239,8,3816212,1144863750,1,16,4
an240,8,3816212,1144863750,1,14,4
an241,8,3816212,1144863750,1,13,4
an242,8,3816212,1144863750,1,15,4
an243,8,3816212,1144863750,1,14,4
an244,8,3816212,1144863750,1,19,4
an246,8,3816212,1144863750,1,19,4
an247,8,3816212,1144863750,1,13,4
an248,1,3798264,1139479350,1,1037,4
an249,8,3816212,1144863750,1,14,4
an250,8,3816212,1144863750,1,13,4
an251,8,3816212,1144863750,1,14,4
an252,1,3812833,1143850050,1,11,4
an252,8,3816212,1144863750,1,39,4
an253,1,3812833,1143850050,1,27,4
an253,8,3816212,1144863750,1,14,4
an254,8,3816212,1144863750,1,15,4
an255,8,3816212,1144863750,1,14,4
an256,8,3816212,1144863750,1,13,4
an257,8,3816212,1144863750,1,13,4
an258,8,3816212,1144863750,1,13,4
an259,8,3816212,1144863750,1,15,4
an260,8,3816212,1144863750,1,17,4
an261,8,3816212,1144863750,1,17,4
an262,8,3816212,1144863750,1,14,4
an263,8,3816212,1144863750,1,14,4
an265,8,3816212,1144863750,1,19,4
an266,8,3816212,1144863750,1,14,4
an268,8,3816212,1144863750,1,15,4
an269,8,3816212,1144863750,1,13,4
an270,8,3816212,1144863750,1,13,4
an271,8,3816212,1144863750,1,12,4
an272,8,3816212,1144863750,1,18,4
an273,8,3816212,1144863750,1,18,4
an274,8,3816212,1144863750,1,15,4
an275,8,3816212,1144863750,1,13,4
an276,8,3816212,1144863750,1,12,4
an277,8,3816212,1144863750,1,13,4
an278,1,3841054,1152316350,1,263,4
an278,8,3816212,1144863750,1,13,4
an279,8,3816212,1144863750,1,12,4
an280,8,3816212,1144863750,1,14,4
an281,8,3816212,1144863750,1,10,4
an282,8,3816212,1144863750,1,12,4
an282,9,3797857,1139357250,1,5,4
an283,8,3816212,1144863750,1,13,4
an284,1,3812842,1143852750,2,24706,4
an284,8,3816212,1144863750,1,12,4
an285,1,3812842,1143852750,2,23172,4
an285,1,3815886,1144765950,1,6,4
an286,8,3816212,1144863750,1,15,4
an287,8,3816212,1144863750,1,16,4
an288,8,3816212,1144863750,1,12,4
an289,2,3784938,1135481550,1,51,4
an289,2,3785040,1135512150,1,35,4
an289,2,3786480,1135944150,1,14,4
an289,8,3816212,1144863750,1,15,4
an290,8,3816212,1144863750,1,13,4
an291,1,3812842,1143852750,2,19487,4
an291,8,3816212,1144863750,1,16,4
an292,1,3812842,1143852750,2,19730,4
an292,8,3816212,1144863750,1,14,4
an293,1,3812842,1143852750,2,20415,4
an293,8,3816212,1144863750,1,14,4
an295,8,3816212,1144863750,1,14,4
an296,8,3816212,1144863750,1,15,4
an297,1,3812842,1143852750,2,19777,4
an297,8,3816212,1144863750,1,14,4
an298,8,3816212,1144863750,1,14,4
an3,8,3828311,1148493450,1,4,4
an300,8,3816212,1144863750,1,15,4
an301,8,3816212,1144863750,1,16,4
an302,8,3816212,1144863750,1,16,4
an303,8,3816212,1144863750,1,15,4
an304,8,3816212,1144863750,1,15,4
an305,8,3816212,1144863750,1,13,4
an306,8,3816212,1144863750,1,13,4
an307,8,3816212,1144863750,1,11,4
an308,8,3816212,1144863750,1,10,4
an309,8,3816212,1144863750,1,11,4
an31,1,3812831,1143849450,1,17,4
an310,8,3816212,1144863750,1,11,4
an311,8,3816212,1144863750,1,13,4
an312,8,3816212,1144863750,1,12,4
an313,8,3816212,1144863750,1,10,4
an314,8,3816212,1144863750,1,13,4
