(.venv-kvpress) PS C:\Users\qkral\projects\swm-logpress\Part_A\week6\ObservedAttention> python ObservedAttention.py
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:01<00:00,  1.19it/s]

================================================================================
압축률: 0.5
원본 토큰 수: 8174
압축 후 KV 토큰 수: 4087
압축률: 0.5
기준 레이어: 0
생존 unique token 수: 5057
================================================================================
Line 00 | PARTIAL | 33/77 | 1133740692 2005.12.04 dn871 Dec 4 15:58:12 dn871/dn871 ntpd[2286]: synchronized to 10.100.28.250, stratum 3
Line 01 | PARTIAL | 55/105 | 1133740695 2005.12.04 bn190 Dec 4 15:58:15 bn190/bn190 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 02 | PARTIAL | 23/65 | 1133740695 2005.12.04 bn190 Dec 4 15:58:15 bn190/bn190 snmpd[7941]: Got trap from peer on fd 13
Line 03 | PARTIAL | 26/73 | 1133740695 2005.12.04 tbird-sm1 Dec 4 15:58:15 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
Line 04 | PARTIAL | 51/105 | 1133740697 2005.12.04 bn283 Dec 4 15:58:17 bn283/bn283 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 05 | PARTIAL | 21/65 | 1133740697 2005.12.04 bn283 Dec 4 15:58:17 bn283/bn283 snmpd[8956]: Got trap from peer on fd 13
Line 06 | PARTIAL | 22/70 | 1133740697 2005.12.04 tbird-sm1 Dec 4 15:58:17 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1264]: Rediscover the subnet
Line 07 | PARTIAL | 26/91 | 1133740697 2005.12.04 tbird-sm1 Dec 4 15:58:17 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:411]: IB node 0x0005AD000002756A port 7 is INIT state
Line 08 | PARTIAL | 46/105 | 1133740698 2005.12.04 bn275 Dec 4 15:58:18 bn275/bn275 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 09 | PARTIAL | 17/65 | 1133740698 2005.12.04 bn275 Dec 4 15:58:18 bn275/bn275 snmpd[7931]: Got trap from peer on fd 13
Line 10 | PARTIAL | 43/128 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 11 | PARTIAL | 40/128 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 12 | PARTIAL | 39/128 | 1133740698 2005.12.04 dn483 Dec 4 15:58:18 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
